net,length_um
_01844_,177.895
_12322_,177.84
net203,177.7
_08693_,177.435
genblk1.pcpi_mul.rs2\[15\],177.08
_10797_,176.88
_07778_,176.86
_12413_,176.84
alu_out_q\[0\],176.84
_02036_,176.74
_11245_,176.72
_10287_,176.64
_06454_,176.6
_06701_,176.47
_10697_,176.335
_08579_,176.32
_12279_,176.315
net155,176.28
_05398_,176.14
_14076_,176.14
net305,176.14
_08364_,176.12
_08589_,176.1
_11193_,176.1
_05669_,175.92
decoded_imm\[0\],175.91
_08762_,175.78
net301,175.73
decoded_imm\[31\],175.625
_00771_,175.52
_05718_,175.4
_03138_,175.395
_14343_,175.23
irq_pending\[11\],174.79
_00622_,174.74
_10254_,174.62
_00623_,174.485
_09082_,174.36
_05313_,174.34
_05963_,174.25
net77,174.24
_14224_,174.23
decoded_imm_uj\[10\],174.105
net187,174.075
_08598_,173.94
instr_jalr,173.85
_10128_,173.75
_02137_,173.62
_11587_,173.56
_05628_,173.425
alu_out\[27\],173.345
_04710_,173.33
_08768_,173.28
_08304_,173.26
net76,173.24
_11373_,173.14
decoded_rs1\[4\],173.1
_11491_,172.985
_06110_,172.78
_08272_,172.56
_11082_,172.555
_14222_,172.515
_05716_,172.5
_11903_,172.47
_14268_,172.385
net189,172.255
_08634_,172.22
_10340_,172.22
_14213_,172.22
_13869_,172.13
alu_out_q\[5\],172.12
_10995_,172.05
irq_mask\[25\],171.99
_08244_,171.66
_08942_,171.615
_11270_,171.56
_08884_,171.44
_12629_,171.42
_14221_,171.37
_09126_,171.36
_10782_,171.12
_12332_,171.12
_09148_,171.05
_08549_,171.02
net205,171.01
_10703_,170.92
_06534_,170.82
_01644_,170.64
_01866_,170.6
_05103_,170.6
alu_out_q\[4\],170.54
net257,170.52
genblk1.pcpi_mul.rs1\[3\],170.08
_09338_,169.925
_11042_,169.8
_04712_,169.74
clknet_5_9__leaf_clk,169.64
alu_out_q\[6\],169.58
irq_pending\[9\],169.5
_06487_,169.44
_09600_,169.32
_07743_,169.28
_10793_,169.26
_13831_,169.26
_10117_,169.23
_09893_,169.22
_10429_,169.19
_02023_,169.16
_10680_,169.13
_10612_,169.08
_01555_,169.02
_06582_,168.98
_08861_,168.92
_10096_,168.88
_11925_,168.855
